BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,3475,Grade7,Grade7,MATH,MATH,1,,D,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3603,Grade8,Grade8,MATH,MATH,1,,F,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3615,Grade6,Grade6,MATH,MATH,4,,E,,MS,MS,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3232,High,High,MATH,MATH,1,,M,,GI,GI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3491,Grade7,Grade7,MATH,MATH,4,,E,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3517,Grade7,Grade7,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3629,Grade6,Grade6,MATH,MATH,3,,D,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3487,Grade7,Grade7,MATH,MATH,1,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3366,Grade3,Grade3,MATH,MATH,4,,C,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3623,Grade6,Grade6,MATH,MATH,1,,E,,MS,MS,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3499,Grade6,Grade6,MATH,MATH,1,,A,,TI,TI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3609,Grade7,Grade7,MATH,MATH,1,,C,,MS,MS,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3254,High,High,MATH,MATH,1,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3507,Grade7,Grade7,MATH,MATH,1,,B,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3631,Grade3,Grade3,MATH,MATH,2,,C,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3371,High,High,MATH,MATH,3,,G,,MC,MC,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3262,Grade6,Grade6,MATH,MATH,1,,C,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3377,Grade5,Grade5,MATH,MATH,1,,F,,MC,MC,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3238,Grade5,Grade5,MATH,MATH,1,,J,,GI,GI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3635,Grade7,Grade7,MATH,MATH,3,,C,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3266,Grade5,Grade5,MATH,MATH,3,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3619,Grade4,Grade4,MATH,MATH,1,,G,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3385,Grade8,Grade8,MATH,MATH,1,,G,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3511,Grade6,Grade6,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3368,Grade5,Grade5,MATH,MATH,2,,A,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
